id,label,spy_win_density,spy_loss_density,adversary_win_density,adversary_loss_density,spy_total_transits_heatmap_win,adversary_total_transits_heatmap_win,spy_relative_visits_win,spy_total_transits_heatmap_lose,adversary_total_transits_heatmap_lose,spy_relative_visits_lose
172,172,1,0,85,19,7,667,0.04972723174,4,344,0.06815623599
173,173,6,1,128,19,131,708,0.8767183874,19,270,0.412471443
174,174,3,0,81,23,280,1615,0.8215000265,112,854,0.7687129567
175,175,190,82,62,95,3054,386,37.48899561,642,256,14.69938321
176,176,1,0,22,7,1,242,0.01957973056,0,32,0
177,177,0,0,52,7,0,173,0,0,27,0
178,178,35,4,39,8,316,124,12.07500932,47,35,7.871071596
179,179,0,0,49,14,24,264,0.4307540723,1,72,0.08140883743
180,180,0,0,66,47,0,1690,0,0,312,0
181,181,3,0,102,21,41,505,0.3846932409,9,125,0.4220234132
182,182,13,8,50,16,204,247,3.913409467,37,93,2.331969279
183,183,5,1,87,18,140,634,1.046311154,16,227,0.4131408842
184,184,3,0,101,76,24,4080,0.02787232233,1,1482,0.003955085219
185,185,0,3,120,92,6,3001,0.009473431781,4,904,0.02593555883
186,186,35,68,79,93,727,971,3.547621335,374,532,4.120633786
187,187,0,6,54,48,46,1544,0.1411668139,19,598,0.1862329258
188,188,1,0,126,51,23,1090,0.09998236725,4,386,0.06074027248
189,189,22,7,48,10,276,134,9.759472863,43,24,10.50174003
190,190,2,1,49,8,15,506,0.1404632845,3,85,0.2068742222
191,191,0,0,44,20,3,607,0.02341826093,0,135,0
192,192,4,1,25,1,13,54,1.140700599,2,5,2.344574518
193,193,11,2,82,7,174,294,2.80429692,26,50,3.047946873
194,194,155,14,27,17,2620,84,147.789671,462,40,67.6995892
195,195,149,95,50,100,2678,205,61.89830958,556,141,23.11318142
196,196,2,1,52,6,33,325,0.4811191639,3,128,0.1373774132
197,197,2,0,84,10,267,1681,0.7526024453,109,946,0.6753663384
198,198,94,88,75,115,1825,1734,4.986959632,929,1030,5.286674095
199,199,0,3,92,54,46,1665,0.1309078442,5,464,0.06316202904
200,200,38,16,104,30,895,496,8.549947263,174,182,5.603790743
